ID Part,Nama Part,Customer,Stok Terkini (pcs),Std Stock (3HK),Material,Proses,Minimal Produksi
41160R,41160R-BRACKET,KJI,"[0, 0]",10,SPCC T 1.4 X 540 X 1219,"[{""process_name"": ""Blank"", ""tonnage_std"": 150, ""tonnage_alternatives"": [110]}, {""process_name"": ""Bending"", ""tonnage_std"": 200, ""tonnage_alternatives"": [150]}]",100
41164,41164-BRACKET,KJI,"[0, 0]",10,SPCC T 2.0 X 780 X 1219,"[{""process_name"": ""Blank"", ""tonnage_std"": 150, ""tonnage_alternatives"": [110]}, {""process_name"": ""Bending"", ""tonnage_std"": 200, ""tonnage_alternatives"": [150]}]",100
4116ACR1111L,BACK PLATE 1D 160 L,SAI,"[0, 0]",10,SGCC T. 0.23 X 555 X 881.6,"[{""process_name"": ""Blank"", ""tonnage_std"": 350, ""tonnage_alternatives"": []}, {""process_name"": ""Bending"", ""tonnage_std"": 350, ""tonnage_alternatives"": []}]",500
4116ACR1121L,BOTTOM PLATE 1D,SAI,"[0, 110]",300,SGCC T. 0.23 X 561 X 666.2,"[{""process_name"": ""Blank"", ""tonnage_std"": 160, ""tonnage_alternatives"": [200]}, {""process_name"": ""Bending"", ""tonnage_std"": 160, ""tonnage_alternatives"": [200]}]",500
4117ACR1111L,BACK PLATE 1D 170 L,SAI,"[0, 0]",10,SGCC T. 0.23 X 555 X 951.6,"[{""process_name"": ""Blank"", ""tonnage_std"": 350, ""tonnage_alternatives"": []}, {""process_name"": ""Bending"", ""tonnage_std"": 350, ""tonnage_alternatives"": []}]",500
4165EAT1111L,BACK PLATE ECO 1D 165 L,SAI,"[0, 0]",10,SGCC T. 0.23 X 535 X 909.6,"[{""process_name"": ""Blank"", ""tonnage_std"": 350, ""tonnage_alternatives"": []}, {""process_name"": ""Bending"", ""tonnage_std"": 350, ""tonnage_alternatives"": []}]",500
4175EAT1111L,BACK PLATE ECO 1D 175 L,SAI,"[0, 0]",10,SGCC T. 0.23 X 535 X 967.6,"[{""process_name"": ""Blank"", ""tonnage_std"": 350, ""tonnage_alternatives"": []}, {""process_name"": ""Bending"", ""tonnage_std"": 350, ""tonnage_alternatives"": []}]",500
42067,42067-BRACKET,KJI,"[0, 0]",10,SPCC T 1.4 X 585 X 1219,"[{""process_name"": ""Blank"", ""tonnage_std"": 150, ""tonnage_alternatives"": [110]}, {""process_name"": ""Bending"", ""tonnage_std"": 200, ""tonnage_alternatives"": [150]}]",100
4218ACR1111L,BACK PLATE 2D 180 L,SAI,"[0, 0]",250,SGCC T. 0.23 X 555 X 1193.6,"[{""process_name"": ""Blank"", ""tonnage_std"": 350, ""tonnage_alternatives"": []}, {""process_name"": ""Bending"", ""tonnage_std"": 350, ""tonnage_alternatives"": []}]",500
4218ACR1121L,BOTTOM PLATE 2D,SAI,"[0, 400]",300,SGCC T. 0.23 X 561 X 706.2,"[{""process_name"": ""Blank"", ""tonnage_std"": 160, ""tonnage_alternatives"": [200]}, {""process_name"": ""Bending"", ""tonnage_std"": 160, ""tonnage_alternatives"": [200]}]",500
4218ECW1121L,BOTTOM PLATE 2D V2,SAI,"[0, 1935]",300,SGCC T. 0.23 X 560.7 X 656.2,"[{""process_name"": ""Blank"", ""tonnage_std"": 160, ""tonnage_alternatives"": [200]}, {""process_name"": ""Bending"", ""tonnage_std"": 160, ""tonnage_alternatives"": [200]}]",500
4223ACR1111L,BACK PLATE 2D 230 L,SAI,"[0, 0]",250,SGCC T. 0.23 X 555 X 1431.6,"[{""process_name"": ""Blank"", ""tonnage_std"": 350, ""tonnage_alternatives"": []}, {""process_name"": ""Bending"", ""tonnage_std"": 350, ""tonnage_alternatives"": []}]",500
